Netid State  Recv-Q Send-Q                              Local Address:Port        Peer Address:PortProcess                                                                                                                                                                
nl    UNCONN 0      0                                               0:2967                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:3811                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2861                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2803                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2778                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:1051                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2566                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:913                     *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:3806                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:3806                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:3811                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2566                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2967                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2861                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2803                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:2778                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:1051                    *                                                                                                                                                                           
nl    UNCONN 0      0                                               0:913                     *                                                                                                                                                                           
nl    UNCONN 4352   0                                               4:4028                    *                                                                                                                                                                           
nl    UNCONN 896    0                                               4:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                               6:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                               7:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                               9:1                       *                                                                                                                                                                           
nl    UNCONN 0      0                                               9:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                               9:867                     *                                                                                                                                                                           
nl    UNCONN 0      0                                               9:3986                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              10:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              11:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              12:1                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              12:990                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              12:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2513                    *                                                                                                                                                                           
nl    UNCONN 46080  0                                              15:2566                    *                                                                                                                                                                           
nl    UNCONN 57088  0                                              15:2628                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-401852567              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1051                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-149022599              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-75509571               *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2724                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-623704143              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2911                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-768170204              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:926                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:924                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1                       *                                                                                                                                                                           
nl    UNCONN 45184  0                                              15:3419                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2764                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:3999                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:988                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:925                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-1534686791             *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2399                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-1650744294             *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-356292667              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-861968762              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1074                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:3987                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2272                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:3165                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1091                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:923                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-705578961              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:3999                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:3987                    *                                                                                                                                                                           
nl    UNCONN 45184  0                                              15:3419                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-1650744294             *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:3165                    *                                                                                                                                                                           
nl    UNCONN 46080  0                                              15:2566                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2513                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-149022599              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2911                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2764                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2724                    *                                                                                                                                                                           
nl    UNCONN 57088  0                                              15:2628                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-176945288              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2399                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:2272                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1074                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1091                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-861968762              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-401852567              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1051                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:988                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-356292667              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:926                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-705578961              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:925                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-623704143              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-75509571               *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-768170204              *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:924                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:923                     *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:-1534686791             *                                                                                                                                                                           
nl    UNCONN 0      0                                              15:1                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              16:-1130914976             *                                                                                                                                                                           
nl    UNCONN 0      0                                              16:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              16:1051                    *                                                                                                                                                                           
nl    UNCONN 0      0                                              16:-1130914976             *                                                                                                                                                                           
nl    UNCONN 0      0                                              18:0                       *                                                                                                                                                                           
nl    UNCONN 0      0                                              21:0                       *                                                                                                                                                                           
p_dgr UNCONN 0      0                                          [2054]:ens33                   *     users:(("NetworkManager",pid=1051,fd=25))                                                                                                                             
u_dgr UNCONN 0      0                                               * 10139                  * 0    users:(("udisksd",pid=925,fd=3))                                                                                                                                      
u_dgr UNCONN 0      0                   /run/user/1000/systemd/notify 17895                  * 0    users:(("systemd",pid=2272,fd=17))                                                                                                                                    
u_dgr UNCONN 0      0                                               * 15319                  * 0    users:(("cupsd",pid=1071,fd=13))                                                                                                                                      
u_dgr UNCONN 0      0                      /run/user/0/systemd/notify 141439                 * 0    users:(("systemd",pid=3999,fd=17))                                                                                                                                    
