USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.3  23360 14576 ?        Ss   23:05   0:05 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    23:05   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    23:05   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-slub_flushwq]
root           7  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/0:0H-kblockd]
root          11  0.0  0.0      0     0 ?        I    23:05   0:00 [kworker/u512:0-netns]
root          12  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-mm_percpu_wq]
root          13  0.0  0.0      0     0 ?        I    23:05   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    23:05   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    23:05   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    23:05   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        R    23:05   0:00 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    23:05   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          19  0.0  0.0      0     0 ?        S    23:05   0:00 [rcu_exp_gp_kthread_worker]
root          20  0.0  0.0      0     0 ?        S    23:05   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    23:05   0:00 [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    23:05   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    23:05   0:00 [cpuhp/1]
root          24  0.0  0.0      0     0 ?        S    23:05   0:00 [idle_inject/1]
root          25  0.0  0.0      0     0 ?        S    23:05   0:00 [migration/1]
root          26  0.0  0.0      0     0 ?        S    23:05   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/1:0H-events_highpri]
root          31  0.0  0.0      0     0 ?        S    23:05   0:00 [kdevtmpfs]
root          32  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-inet_frag_wq]
root          34  0.0  0.0      0     0 ?        S    23:05   0:00 [kauditd]
root          35  0.0  0.0      0     0 ?        S    23:05   0:00 [khungtaskd]
root          36  0.0  0.0      0     0 ?        S    23:05   0:00 [oom_reaper]
root          38  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-writeback]
root          39  0.0  0.0      0     0 ?        S    23:05   0:00 [kcompactd0]
root          40  0.0  0.0      0     0 ?        SN   23:05   0:00 [ksmd]
root          41  0.0  0.0      0     0 ?        SN   23:05   0:00 [khugepaged]
root          42  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-kintegrityd]
root          43  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-kblockd]
root          44  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-blkcg_punt_bio]
root          45  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/9-acpi]
root          47  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-tpm_dev_wq]
root          48  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-ata_sff]
root          49  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-md]
root          50  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-md_bitmap]
root          51  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-edac-poller]
root          52  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-devfreq_wq]
root          53  0.0  0.0      0     0 ?        S    23:05   0:00 [watchdogd]
root          55  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/1:1H-kblockd]
root          56  0.0  0.0      0     0 ?        S    23:05   0:00 [kswapd0]
root          57  0.0  0.0      0     0 ?        S    23:05   0:00 [ecryptfs-kthread]
root          58  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-kthrotld]
root          59  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/24-pciehp]
root          60  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/25-pciehp]
root          61  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/26-pciehp]
root          62  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/27-pciehp]
root          63  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/28-pciehp]
root          64  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/29-pciehp]
root          65  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/30-pciehp]
root          66  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/31-pciehp]
root          67  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/32-pciehp]
root          68  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/33-pciehp]
root          69  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/34-pciehp]
root          70  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/35-pciehp]
root          71  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/36-pciehp]
root          72  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/37-pciehp]
root          73  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/38-pciehp]
root          74  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/39-pciehp]
root          75  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/40-pciehp]
root          76  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/41-pciehp]
root          77  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/42-pciehp]
root          78  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/43-pciehp]
root          79  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/44-pciehp]
root          80  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/45-pciehp]
root          81  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/46-pciehp]
root          82  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/47-pciehp]
root          83  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/48-pciehp]
root          84  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/49-pciehp]
root          85  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/50-pciehp]
root          86  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/51-pciehp]
root          87  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/52-pciehp]
root          88  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/53-pciehp]
root          89  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/54-pciehp]
root          90  0.0  0.0      0     0 ?        S    23:05   0:00 [irq/55-pciehp]
root          91  0.0  0.0      0     0 ?        I<   23:05   0:00 [kworker/R-acpi_thermal_pm]
root          92  0.0  0.0      0     0 ?        I    23:05   0:00 [kworker/u514:2-flush-8:0]
