Netid State  Recv-Q Send-Q                                          Local Address:Port           Peer Address:Port Process                                                                                                                                                                                                                                     
nl    UNCONN 0      0                                                           0:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2453                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2499                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:715                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:535                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:783                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2472                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:1528                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2696                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2696                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2499                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2472                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:2453                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:1528                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:783                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:715                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           0:535                        *                                                                                                                                                                                                                                                 
nl    UNCONN 896    0                                                           4:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 4352   0                                                           4:3076                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           7:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           9:1                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           9:3058                       *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                           9:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          10:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          11:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          12:1                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          12:0                          *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:746                        *                                                                                                                                                                                                                                                 
nl    UNCONN 0      0                                                          15:817                        *                                                                                                                                                                                                                                                 
